College_Name,Fee,Exam,Rating,Address,Img
"IIT Madras - Indian Institute of Technology - [IITM], Chennai","₹ 75,116",JEE ADVANCED, 8.5 / 10 ," Chennai, Tamil Nadu",https://images.collegedunia.com/public/college_data/images/appImage/1509430807cover.jpg?h=300&w=250&mode=stretch
"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","₹ 220,300",JEE ADVANCED, 8.8 / 10 ," New Delhi, Delhi NCR",https://images.collegedunia.com/public/college_data/images/appImage/25703_IIT_New.jpg?h=300&w=250&mode=stretch
"Woxsen University, Hyderabad","₹ 362,500",VITEEE, 8.2 / 10 ," Hyderabad, Telangana",https://images.collegedunia.com/public/college_data/images/appImage/14483_1444286530NHCE_NEW.jpg?h=300&w=250&mode=stretch
"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","₹ 228,000",JEE ADVANCED, 8.8 / 10 ," Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg?h=300&w=250&mode=stretch
"New Horizon College of Engineering - [NHCE], Bangalore","₹ 1,000,000",KCET, 8.6 / 10 ," Bangalore, Karnataka",https://images.collegedunia.com/public/college_data/images/appImage/1613293152Cover.jpg?h=300&w=250&mode=stretch
"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","₹ 90,092",JEE ADVANCED, 8.6 / 10 ," Kharagpur, West Bengal",https://images.collegedunia.com/public/college_data/images/appImage/25948_IITK_New.jpg?h=300&w=250&mode=stretch
"BML Munjal University - [BMU], Gurgaon","₹ 252,000",JEE MAIN, 8.1 / 10 ," Gurgaon, Haryana",https://images.collegedunia.com/public/college_data/images/appImage/57446_Capture.jpg?h=300&w=250&mode=stretch
"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","₹ 242,900",JEE ADVANCED, 8.5 / 10 ," Kanpur, Uttar Pradesh",https://images.collegedunia.com/public/college_data/images/appImage/25992_IITR_New.jpg?h=300&w=250&mode=stretch
"University of Engineering and Management - [UEM], Kolkata","₹ 171,200",IEMJEE, 7.9 / 10 ," Kolkata, West Bengal",https://images.collegedunia.com/public/college_data/images/appImage/25851_Untitled.jpg?h=300&w=250&mode=stretch
"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","₹ 213,500",JEE ADVANCED, 8.7 / 10 ," Roorkee, Uttarakhand",https://images.collegedunia.com/public/college_data/images/appImage/25800_BITS_App.jpg?h=300&w=250&mode=stretch
"University of Engineering and Management - [UEM], Jaipur","₹ 100,000",IEMJEE, 8.2 / 10 ," Jaipur, Rajasthan",https://images.collegedunia.com/public/college_data/images/appImage/13636_123.jpg?h=300&w=250&mode=stretch
"BITS Pilani (Pilani Campus), Pilani","₹ 512,775",BITSAT, 8.8 / 10 ," Pilani, Rajasthan",https://images.collegedunia.com/public/college_data/images/appImage/1620192479desk.png?h=300&w=250&mode=stretch
"GNIOT Group of Institutions - [GNIOT], Greater Noida","₹ 127,970",JEE MAIN, 7.8 / 10 ," Greater Noida, Uttar Pradesh",https://images.collegedunia.com/public/college_data/images/appImage/1599193361PuCampus.jpg?h=300&w=250&mode=stretch
"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati","₹ 217,750",JEE ADVANCED, 8.7 / 10 ," Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/appImage/1485941210cvr1.png?h=300&w=250&mode=stretch
"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad","₹ 236,500",JEE ADVANCED, 8.6 / 10 ," Hyderabad, Telangana",https://images.collegedunia.com/public/college_data/images/appImage/1575529948nitt.jpeg?h=300&w=250&mode=stretch
"College of Engineering, Anna University - [CEG], Chennai","₹ 50,000",TNEA, 8.4 / 10 ," Chennai, Tamil Nadu",https://images.collegedunia.com/public/college_data/images/appImage/1579601241Annotation2020011810190D.jpg?h=300&w=250&mode=stretch
"HKBK Group of Institutions, Bangalore","₹ 325,000",JEE MAIN, 7 / 10 ," Bangalore, Karnataka",https://images.collegedunia.com/public/college_data/images/appImage/1590841850Cover.jpg?h=300&w=250&mode=stretch
"IIT BHU - Indian Institute of Technology, Varanasi","₹ 134,231",JEE ADVANCED, 8.6 / 10 ," Varanasi, Uttar Pradesh",https://images.collegedunia.com/public/college_data/images/appImage/1505131397cover.jpg?h=300&w=250&mode=stretch
