College Name,Fee,Exam,Rating,Img,Address
"National Institute of Fashion Technology - [NIFT], New Delhi","₹ 270,900","₹ 224,700", 8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/27897_NIFT_New.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"National Institute of Fashion Technology - [NIFT], Navi Mumbai","₹ 297,100","₹ 224,700", 8.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/6914_NIFTMUMBAI_APP.jpg?h=300&w=250&mode=stretch," Navi Mumbai, Maharashtra"
"National Institute of Fashion Technology - [NIFT], Bangalore","₹ 167,250","₹ 167,250", 7.6 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1599193361PuCampus.jpg?h=300&w=250&mode=stretch," Bangalore, Karnataka"
"National Institute of Fashion Technology - [NIFT], Chennai","₹ 297,100","₹ 229,300", 7.4 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/6919_NIFT_New.jpg?h=300&w=250&mode=stretch," Chennai, Tamil Nadu"
"Parul University, Vadodara","₹ 225,000","₹ 100,000", 8.1 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1486386422AppNew.jpg?h=300&w=250&mode=stretch," Vadodara, Gujarat"
"National Institute of Fashion Technology - [NIFT], Hyderabad","₹ 297,100","₹ 224,700", 8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/6915_NIFT_New.jpg?h=300&w=250&mode=stretch," Hyderabad, Telangana"
"National Institute of Fashion Technology - [NIFT], Patna","₹ 167,250","₹ 167,250", 8.6 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/5928_UWSOA_APP.jpg?h=300&w=250&mode=stretch," Patna, Bihar"
"National Institute of Fashion Technology - [NIFT], Gandhinagar","₹ 167,250","₹ 167,250", 8.7 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/6916_NIFT_New.jpg?h=300&w=250&mode=stretch," Gandhinagar, Gujarat"
"Unitedworld Institute of Design, Karnavati University - [UID], Gandhinagar","₹ 450,000","₹ 500,000", 7.9 / 10 ,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?h=300&w=250&mode=stretch," Gandhinagar, Gujarat"
"National Institute of Fashion Technology - [NIFT], Kolkata","₹ 167,250","₹ 167,250", 7.5 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1606650696Cover.jpg?h=300&w=250&mode=stretch," Kolkata, West Bengal"
"Pearl Academy West Campus, New Delhi","₹ 689,090","₹ 395,270", 7.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1486114916AppNew.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"IVS School of Design, New Delhi","₹ 656,000","₹ 245,000", 8.8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/6746_AMITYSFTNOIDA_APP.jpg?h=300&w=250&mode=stretch," New Delhi, Delhi NCR"
"National Institute of Fashion Technology - [NIFT], Bhubaneswar","₹ 167,250","₹ 167,250", 8.4 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1486122019AppNew.jpg?h=300&w=250&mode=stretch," Bhubaneswar, Orissa"
"Amity School of Fashion Technology - [ASFT], Noida","₹ 152,000","₹ 130,000", 8.7 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1606480609Cover.png?h=300&w=250&mode=stretch," Noida, Uttar Pradesh"
"National Institute of Fashion Technology - [NIFT], Shillong","₹ 297,100","₹ 297,100", 8.7 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1498624703PPPPPPPP.jpg?h=300&w=250&mode=stretch," Shillong, Meghalaya"
"Pearl Academy, Jaipur","₹ 496,750","₹ 395,270", 8 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/16407619816752ARCHJAPP.jpg?h=300&w=250&mode=stretch," Jaipur, Rajasthan"
"Arch College of Design and Business, Jaipur","₹ 435,000","₹ 445,000", 7.7 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1616742191Screenshot20210326123056.png?h=300&w=250&mode=stretch," Jaipur, Rajasthan"
"Army Institute of Fashion and Design - [AIFD], Bangalore","₹ 192,814","₹ 161,105", 9 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/6879_JD_APP.jpg?h=300&w=250&mode=stretch," Bangalore, Karnataka"
"Centre for Design Excellence - [CODE VGU], Jaipur","₹ 262,500","₹ 162,500", 9.3 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/14849938465890ap.jpg?h=300&w=250&mode=stretch," Jaipur, Rajasthan"
"JD Institute of Fashion Technology, Bangalore","₹ 250,000","₹ 180,000", 8.1 / 10 ,https://images.collegedunia.com/public/college_data/images/appImage/1498713823vidyacvr.jpg?h=300&w=250&mode=stretch," Bangalore, Karnataka"
