College Name,Total Fees,Exam Excepted,Rating,Address
"IIM Bangalore - Indian Institute of Management, Bangalore","₹ 2,450,000",CAT, 9.1," Bangalore, Karnataka"
"Indian Institute of Management - [IIMA], Ahmedabad","₹ 3,000,000",CAT, 9.1," Ahmedabad, Gujarat"
"Indian Institute of Management - [IIMC], Kolkata","₹ 2,700,000",CAT, 8.6," Kolkata, West Bengal"
"Indian Institute of Management - [IIM], Lucknow","₹ 1,005,000",XAT, 8.5," Lucknow, Uttar Pradesh"
"Indian Institute of Management - [IIM], Indore","₹ 850,711",CAT, 8.7," Indore, Madhya Pradesh"
"Prestige Institute of Management and Research - [PIMR], Indore","₹ 119,500",CMAT, 7.6," Indore, Madhya Pradesh"
"Vinod Gupta School of Management - [VGSoM], Kharagpur","₹ 640,768",CAT, 8.7," Kharagpur, West Bengal"
"XLRI - Xavier School of Management - [XLRI], Jamshedpur","₹ 1,290,000",XAT, 8.9," Jamshedpur, Jharkhand"
"Department of Management Studies IIT Delhi - [DMS IITD], New Delhi","₹ 1,080,000",CAT, 8.7," New Delhi, Delhi NCR"
"Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai","₹ 691,100",CAT, 8.8," Mumbai, Maharashtra"
"BML Munjal University - [BMU], Gurgaon","₹ 580,000",XAT, 8.1," Gurgaon, Haryana"
"Department of Management Studies, Indian Institute of Technology - [DOMS], Roorkee","₹ 413,500",CAT, 8.8," Roorkee, Uttarakhand"
"Management Development Institute - [MDI], Gurgaon","₹ 2,347,400",CAT, 8.4," Gurgaon, Haryana"
"GNIOT Institute of Management Studies - [GIMS], Greater Noida","₹ 342,000",XAT, 9 /," Greater Noida, Uttar Pradesh"
"Indian School of Business - [ISB], Hyderabad","₹ 3,629,620",GMAT, 9.1," Hyderabad, Telangana"
"New Horizon College of Engineering - [NHCE], Bangalore","₹ 500,000",XAT, 8.6," Bangalore, Karnataka"
"Indian Institute of Management - [IIMU], Udaipur","₹ 940,000",CAT, 8.6," Udaipur, Rajasthan"
"Woxsen University, Hyderabad","₹ 725,000",XAT, 8.2," Hyderabad, Telangana"
